Id,City,2000 population,2014 population estimate
1600000US0107000,"Birmingham, Alabama",242820,212653
1600000US0137000,"Huntsville, Alabama",158216,187592
1600000US0150000,"Mobile, Alabama",198915,194670
1600000US0151000,"Montgomery, Alabama",201568,200486
1600000US0203000,"Anchorage municipality, Alaska",260283,301010
1600000US0412000,"Chandler, Arizona",176581,254275
1600000US0427400,"Gilbert town, Arizona",109697,239282
1600000US0427820,"Glendale, Arizona",218812,237529
1600000US0446000,"Mesa, Arizona",396375,464682
1600000US0454050,"Peoria, Arizona",108364,166955
1600000US0455000,"Phoenix, Arizona",1321045,1537045
1600000US0465000,"Scottsdale, Arizona",202705,230502
1600000US0471510,"Surprise, Arizona",30848,126278
1600000US0473000,"Tempe, Arizona",158625,172836
1600000US0477000,"Tucson, Arizona",486699,527948
1600000US0541000,"Little Rock, Arkansas",183133,197701
1600000US0602000,"Anaheim, California",328014,346961
1600000US0602252,"Antioch, California",90532,108953
1600000US0603526,"Bakersfield, California",247057,368748
1600000US0606000,"Berkeley, California",102743,118851
1600000US0608954,"Burbank, California",100316,105366
1600000US0611194,"Carlsbad, California",78247,112310
1600000US0613392,"Chula Vista, California",173556,260977
1600000US0614218,"Clovis, California",68468,102190
1600000US0616000,"Concord, California",121780,127511
1600000US0616350,"Corona, California",124966,161498
1600000US0616532,"Costa Mesa, California",108724,112793
1600000US0617918,"Daly City, California",103621,106099
1600000US0619766,"Downey, California",107323,114168
1600000US0620802,"East Los Angeles, California",124283,117267
1600000US0621712,"El Cajon, California",94869,103075
1600000US0622020,"Elk Grove, California",59984,163560
1600000US0622230,"El Monte, California",115965,116617
1600000US0622804,"Escondido, California",133559,150252
1600000US0623182,"Fairfield, California",96178,111139
1600000US0624680,"Fontana, California",128929,204953
1600000US0626000,"Fremont, California",203413,228760
1600000US0627000,"Fresno, California",427652,515985
1600000US0628000,"Fullerton, California",126003,139663
1600000US0629000,"Garden Grove, California",165196,175085
1600000US0630000,"Glendale, California",194973,200161
1600000US0633000,"Hayward, California",140030,154633
1600000US0636000,"Huntington Beach, California",189594,200814
1600000US0636546,"Inglewood, California",112580,111901
1600000US0636770,"Irvine, California",143072,248521
1600000US0640130,"Lancaster, California",118718,161036
1600000US0643000,"Long Beach, California",461522,473605
1600000US0644000,"Los Angeles, California",3694820,3928827
1600000US0648354,"Modesto, California",188856,209308
1600000US0649270,"Moreno Valley, California",142381,202978
1600000US0650076,"Murrieta, California",44282,108371
1600000US0652526,"Norwalk, California",103298,107111
1600000US0653000,"Oakland, California",399484,413782
1600000US0653322,"Oceanside, California",161029,174552
1600000US0653896,"Ontario, California",158007,169085
1600000US0653980,"Orange, California",128821,139826
1600000US0654652,"Oxnard, California",170358,205434
1600000US0655156,"Palmdale, California",116670,158274
1600000US0656000,"Pasadena, California",133936,140860
1600000US0658072,"Pomona, California",149473,153381
1600000US0659451,"Rancho Cucamonga, California",127743,174302
1600000US0660466,"Rialto, California",91873,102740
1600000US0660620,"Richmond, California",99216,108562
1600000US0662000,"Riverside, California",255166,319519
1600000US0662938,"Roseville, California",79921,128593
1600000US0664000,"Sacramento, California",407018,485193
1600000US0664224,"Salinas, California",151060,156678
1600000US0665000,"San Bernardino, California",185401,215227
1600000US0665042,"San Buenaventura (Ventura), California",100916,109478
1600000US0666000,"San Diego, California",1223400,1381083
1600000US0667000,"San Francisco, California",776733,852469
1600000US0668000,"San Jose, California",894943,1015796
1600000US0668252,"San Mateo, California",92482,102885
1600000US0669000,"Santa Ana, California",337977,334924
1600000US0669084,"Santa Clara, California",102361,122198
1600000US0669088,"Santa Clarita, California",151088,181559
1600000US0669196,"Santa Maria, California",77423,103414
1600000US0670098,"Santa Rosa, California",147595,174166
1600000US0672016,"Simi Valley, California",111351,126873
1600000US0675000,"Stockton, California",243771,302405
1600000US0677000,"Sunnyvale, California",131760,149984
1600000US0678120,"Temecula, California",57716,109446
1600000US0678582,"Thousand Oaks, California",117005,129344
1600000US0680000,"Torrance, California",137946,148483
1600000US0681666,"Vallejo, California",116760,120210
1600000US0682590,"Victorville, California",64029,121911
1600000US0682954,"Visalia, California",91565,129280
1600000US0684200,"West Covina, California",105080,108445
1600000US0803455,"Arvada, Colorado",102153,113775
1600000US0804000,"Aurora, Colorado",276393,353381
1600000US0807850,"Boulder, Colorado",94673,105101
1600000US0816000,"Colorado Springs, Colorado",360890,445820
1600000US0820000,"Denver, Colorado",554636,663862
1600000US0827425,"Fort Collins, Colorado",118652,156473
1600000US0836410,"Highlands Ranch, Colorado",70931,100192
1600000US0843000,"Lakewood, Colorado",144126,149650
1600000US0862000,"Pueblo, Colorado",102121,108439
1600000US0877290,"Thornton, Colorado",82384,130309
1600000US0883835,"Westminster, Colorado",100940,112099
1600000US0908000,"Bridgeport, Connecticut",139529,147608
1600000US0937000,"Hartford, Connecticut",121578,124721
1600000US0952000,"New Haven, Connecticut",123626,130285
1600000US0973000,"Stamford, Connecticut",117083,128283
1600000US0980000,"Waterbury, Connecticut",107271,109311
1600000US1150000,"Washington, District of Columbia",572059,658893
1600000US1208150,"Brandon, Florida",77895,105125
1600000US1210275,"Cape Coral, Florida",102286,169855
1600000US1212875,"Clearwater, Florida",108787,110709
1600000US1214400,"Coral Springs, Florida",117549,127963
1600000US1224000,"Fort Lauderdale, Florida",152397,176018
1600000US1225175,"Gainesville, Florida",95447,128474
1600000US1230000,"Hialeah, Florida",226419,235566
1600000US1232000,"Hollywood, Florida",139357,148040
1600000US1235000,"Jacksonville, Florida",735617,853376
1600000US1238250,"Lakeland, Florida",78452,102335
1600000US1239925,"Lehigh Acres, Florida",33430,111416
1600000US1245000,"Miami, Florida",362470,430341
1600000US1245975,"Miramar, Florida",72739,134991
1600000US1253000,"Orlando, Florida",185951,262396
1600000US1254000,"Palm Bay, Florida",79413,105845
1600000US1255775,"Pembroke Pines, Florida",137427,164625
1600000US1258050,"Pompano Beach, Florida",78191,106115
1600000US1258715,"Port St. Lucie, Florida",88769,174093
1600000US1263000,"St. Petersburg, Florida",248232,253682
1600000US1270600,"Tallahassee, Florida",150624,188106
1600000US1271000,"Tampa, Florida",303447,358684
1600000US1276600,"West Palm Beach, Florida",82103,104017
1600000US1303440,"Athens-Clarke County (balance), Georgia",100266,119841
1600000US1304000,"Atlanta, Georgia",416474,456012
1600000US1304204,"Augusta-Richmond County (balance), Georgia",195182,197465
1600000US1368516,"Sandy Springs, Georgia",85781,101914
1600000US1369000,"Savannah, Georgia",131510,144355
1600000US1608830,"Boise City, Idaho",185787,216280
1600000US1703012,"Aurora, Illinois",142990,200708
1600000US1714000,"Chicago, Illinois",2896016,2722407
1600000US1723074,"Elgin, Illinois",94487,116548
1600000US1738570,"Joliet, Illinois",106221,146578
1600000US1751622,"Naperville, Illinois",128358,145396
1600000US1759000,"Peoria, Illinois",112936,117288
1600000US1765000,"Rockford, Illinois",150115,148996
1600000US1772000,"Springfield, Illinois",111454,116649
1600000US1822000,"Evansville, Indiana",121582,121299
1600000US1825000,"Fort Wayne, Indiana",205727,256023
1600000US1836003,"Indianapolis  (balance), Indiana",781870,851353
1600000US1871000,"South Bend, Indiana",107789,103019
1600000US1912000,"Cedar Rapids, Iowa",120758,129183
1600000US1919000,"Davenport, Iowa",98359,102431
1600000US1921000,"Des Moines, Iowa",198682,209064
1600000US2036000,"Kansas City, Kansas",146866,148323
1600000US2052575,"Olathe, Kansas",92962,133059
1600000US2053775,"Overland Park, Kansas",149080,184524
1600000US2071000,"Topeka, Kansas",122377,127223
1600000US2079000,"Wichita, Kansas",344284,388413
1600000US2146027,"Lexington-Fayette, Kentucky",260512,310797
1600000US2205000,"Baton Rouge, Louisiana",227818,228909
1600000US2240735,"Lafayette, Louisiana",110257,126068
1600000US2250115,"Metairie, Louisiana",146136,144239
1600000US2255000,"New Orleans, Louisiana",484674,384320
1600000US2270000,"Shreveport, Louisiana",200145,197979
1600000US2404000,"Baltimore, Maryland",651154,622793
1600000US2507000,"Boston, Massachusetts",589141,656051
1600000US2511000,"Cambridge, Massachusetts",101355,109699
1600000US2537000,"Lowell, Massachusetts",105167,109931
1600000US2567000,"Springfield, Massachusetts",152082,153994
1600000US2582000,"Worcester, Massachusetts",172648,183033
1600000US2603000,"Ann Arbor, Michigan",114024,117759
1600000US2622000,"Detroit, Michigan",951270,680281
1600000US2634000,"Grand Rapids, Michigan",197800,193793
1600000US2646000,"Lansing, Michigan",119128,113659
1600000US2676460,"Sterling Heights, Michigan",124471,131729
1600000US2684000,"Warren, Michigan",138247,135099
1600000US2743000,"Minneapolis, Minnesota",382618,407181
1600000US2754880,"Rochester, Minnesota",85806,111398
1600000US2758000,"St. Paul, Minnesota",287151,297644
1600000US2836000,"Jackson, Mississippi",184256,171146
1600000US2915670,"Columbia, Missouri",84531,116892
1600000US2935000,"Independence, Missouri",113288,117503
1600000US2938000,"Kansas City, Missouri",441545,470816
1600000US2965000,"St. Louis, Missouri",348189,317419
1600000US2970000,"Springfield, Missouri",151580,165399
1600000US3006550,"Billings, Montana",89847,108870
1600000US3128000,"Lincoln, Nebraska",225581,273002
1600000US3137000,"Omaha, Nebraska",390007,446618
1600000US3223770,"Enterprise, Nevada",14676,126438
1600000US3231900,"Henderson, Nevada",175381,277458
1600000US3240000,"Las Vegas, Nevada",478434,613590
1600000US3251800,"North Las Vegas, Nevada",115488,230793
1600000US3254600,"Paradise, Nevada",186070,237477
1600000US3260600,"Reno, Nevada",180480,236995
1600000US3268585,"Spring Valley, Nevada",117390,192113
1600000US3271400,"Sunrise Manor, Nevada",156120,189229
1600000US3345140,"Manchester, New Hampshire",107006,110451
1600000US3421000,"Elizabeth, New Jersey",120568,128695
1600000US3436000,"Jersey City, New Jersey",240055,262146
1600000US3451000,"Newark, New Jersey",273546,280577
1600000US3457000,"Paterson, New Jersey",149222,146746
1600000US3502000,"Albuquerque, New Mexico",448607,557172
1600000US3539380,"Las Cruces, New Mexico",74267,101405
1600000US3611000,"Buffalo, New York",292648,258699
1600000US3651000,"New York, New York",8008278,8491079
1600000US3663000,"Rochester, New York",219773,209974
1600000US3673000,"Syracuse, New York",147306,144263
1600000US3684000,"Yonkers, New York",196086,200665
1600000US3710740,"Cary town, North Carolina",94536,155724
1600000US3712000,"Charlotte, North Carolina",540828,809974
1600000US3719000,"Durham, North Carolina",187035,251872
1600000US3722920,"Fayetteville, North Carolina",121015,203939
1600000US3728000,"Greensboro, North Carolina",223891,282558
1600000US3731400,"High Point, North Carolina",85839,107957
1600000US3755000,"Raleigh, North Carolina",276093,439884
1600000US3774440,"Wilmington, North Carolina",75838,113676
1600000US3775000,"Winston-Salem, North Carolina",185776,239273
1600000US3825700,"Fargo, North Dakota",90599,116572
1600000US3901000,"Akron, Ohio",217074,197846
1600000US3915000,"Cincinnati, Ohio",331285,298162
1600000US3916000,"Cleveland, Ohio",478403,389524
1600000US3918000,"Columbus, Ohio",711470,836293
1600000US3921000,"Dayton, Ohio",166179,140995
1600000US3977000,"Toledo, Ohio",313619,281014
1600000US4009050,"Broken Arrow, Oklahoma",74859,106226
1600000US4052500,"Norman, Oklahoma",95694,118046
1600000US4055000,"Oklahoma City, Oklahoma",506132,620553
1600000US4075000,"Tulsa, Oklahoma",393049,399274
1600000US4123850,"Eugene, Oregon",137893,160552
1600000US4131250,"Gresham, Oregon",90205,109877
1600000US4159000,"Portland, Oregon",529121,619445
1600000US4164900,"Salem, Oregon",136924,161648
1600000US4202000,"Allentown, Pennsylvania",106632,119105
1600000US4260000,"Philadelphia, Pennsylvania",1517550,1560297
1600000US4261000,"Pittsburgh, Pennsylvania",334563,305434
1600000US4459000,"Providence, Rhode Island",173618,179142
1600000US4513330,"Charleston, South Carolina",96650,130750
1600000US4516000,"Columbia, South Carolina",116278,131758
1600000US4550875,"North Charleston, South Carolina",79641,107972
1600000US4659020,"Sioux Falls, South Dakota",123975,168604
1600000US4714000,"Chattanooga, Tennessee",155554,173778
1600000US4715160,"Clarksville, Tennessee",103455,146814
1600000US4740000,"Knoxville, Tennessee",173890,184292
1600000US4748000,"Memphis, Tennessee",650100,656876
1600000US4751560,"Murfreesboro, Tennessee",68816,120960
1600000US4752006,"Nashville-Davidson (balance), Tennessee",545524,644008
1600000US4801000,"Abilene, Texas",115930,120176
1600000US4803000,"Amarillo, Texas",173627,200246
1600000US4804000,"Arlington, Texas",332969,383202
1600000US4805000,"Austin, Texas",656562,912798
1600000US4807000,"Beaumont, Texas",113866,117576
1600000US4810768,"Brownsville, Texas",139722,183016
1600000US4813024,"Carrollton, Texas",109576,128342
1600000US4815976,"College Station, Texas",67890,103486
1600000US4817000,"Corpus Christi, Texas",277454,320431
1600000US4819000,"Dallas, Texas",1188580,1281031
1600000US4819972,"Denton, Texas",80537,128200
1600000US4824000,"El Paso, Texas",563662,679024
1600000US4827000,"Fort Worth, Texas",534694,812553
1600000US4827684,"Frisco, Texas",33714,145038
1600000US4829000,"Garland, Texas",215768,235597
1600000US4830464,"Grand Prairie, Texas",127427,185415
1600000US4835000,"Houston, Texas",1953631,2240796
1600000US4837000,"Irving, Texas",191615,232413
1600000US4839148,"Killeen, Texas",86911,138143
1600000US4841464,"Laredo, Texas",176576,253747
1600000US4842508,"Lewisville, Texas",77737,102283
1600000US4845000,"Lubbock, Texas",199564,243843
1600000US4845384,"McAllen, Texas",106414,138584
1600000US4845744,"McKinney, Texas",54369,156753
1600000US4847892,"Mesquite, Texas",124523,144289
1600000US4848072,"Midland, Texas",94996,128037
1600000US4853388,"Odessa, Texas",90943,116394
1600000US4856000,"Pasadena, Texas",141674,153914
1600000US4856348,"Pearland, Texas",37640,104759
1600000US4858016,"Plano, Texas",222030,277910
1600000US4861796,"Richardson, Texas",91802,108609
1600000US4863500,"Round Rock, Texas",61136,112196
1600000US4865000,"San Antonio, Texas",1144646,1436723
1600000US4872656,"The Woodlands, Texas",55649,102764
1600000US4874144,"Tyler, Texas",83650,101436
1600000US4876000,"Waco, Texas",113726,130191
1600000US4879000,"Wichita Falls, Texas",104197,105107
1600000US4962470,"Provo, Utah",105166,114807
1600000US4967000,"Salt Lake City, Utah",181743,190873
1600000US4982950,"West Jordan, Utah",68336,110917
1600000US4983470,"West Valley City, Utah",108896,134492
1600000US5101000,"Alexandria, Virginia",128283,150575
1600000US5103000,"Arlington, Virginia",189453,226908
1600000US5116000,"Chesapeake, Virginia",199184,233371
1600000US5135000,"Hampton, Virginia",146437,136879
1600000US5156000,"Newport News, Virginia",180150,182965
1600000US5157000,"Norfolk, Virginia",234403,245428
1600000US5167000,"Richmond, Virginia",197790,217853
1600000US5182000,"Virginia Beach, Virginia",425257,450980
1600000US5305210,"Bellevue, Washington",109569,136426
1600000US5322640,"Everett, Washington",91488,106741
1600000US5335415,"Kent, Washington",79524,125547
1600000US5363000,"Seattle, Washington",563374,668337
1600000US5367000,"Spokane, Washington",195629,212067
1600000US5370000,"Tacoma, Washington",193556,205153
1600000US5374060,"Vancouver, Washington",143560,169303
1600000US5531000,"Green Bay, Wisconsin",102313,104893
1600000US5548000,"Madison, Wisconsin",208054,245674
1600000US5553000,"Milwaukee, Wisconsin",596974,599653
